ID,question,maxrating
48263b4f-1d75-40d8-aa1e-ffc61ea98b9e,Speak in rhymes for the next 5 minutes.,6
4f970f90-3cdd-4bb6-90e8-70763ec57422,Tell an embarrassing story about yourself.,6
07558bce-b4b1-4504-a924-fa99c0c7c254,Do 20 push-ups.,6
87f9d2fc-81f2-466e-b9bc-26225858e92c,Show the most embarrassing photo on your phone.,6
7732c75f-fe80-4333-816b-71c8b38d3b98,Let the group choose your profile picture for a week.,6
bf5fb68c-8db6-4ffe-a83b-d4d626ae4483,Prank call a friend.,6
66d30f54-6a15-4fe6-aed3-bb493b4abdd9,Do a handstand or attempt a cartwheel.,6
7304bc92-e9ad-4b45-9649-adbec4a8720a,Text your parents asking if they believe in aliens.,8
03efb340-de25-4647-ba27-6512d8e7c3b2,Post a childhood photo of yourself on social media.,8
36ea8481-49dd-4452-92ee-5ee2f2f984d9,Call a pizza place and ask if they serve sushi.,8
63155c60-545f-4e99-be79-1672890389bb,Wear your shirt inside out for the rest of the game.,8
eede914e-83d5-4319-b2e0-e20880ba2a20,Let someone give you a makeup makeover (guys too!).,8
8d206455-9b6c-4c73-85be-6f8465a888c6,Write a poem about your left foot and recite it dramatically.,8
dedcbb34-a78f-489b-801a-e3ada1403f66,Do your best breakdancing move.,8
ba699bfd-4f63-4e9c-bbaf-4143c27cd6f5,Send a voice message of you singing 'Happy Birthday' to a random contact.,8
f338bed9-41b1-4fe4-80cb-4f9e5a01c183,Put ice cubes in your socks and wear them for 2 minutes.,8
5f1a24c4-f183-4e67-a12e-be9c5c2d59dd,Eat a raw clove of garlic.,8
1df6ed94-f4d0-47e9-ac70-75f06c817e2b,Do a dramatic reading of the last text message you sent.,8
55453c55-742d-4b52-a24b-db71eaafd9f2,Let the group go through your phone for 1 minute.,8
ea84ed2a-bb40-4d14-84b1-234ebbad07c9,Post a status saying 'I'm quitting social media forever' (delete after an hour).,8
febe37c6-b682-4405-b2e8-b0f9fe827e06,Try to do the splits.,8
8fd11cbf-8614-4ad7-81b7-204313511f4d,Freestyle rap for 1 minute about the other players.,8
abf9deea-ebba-41c4-b1fb-4137322d58e5,Send a message to your ex saying 'I miss you'.,10
021556b4-7db8-4597-a0ed-c43e569fc9df,Post 'I love Justin Bieber' on your main social media account.,10
472adea1-3a14-4622-b1d8-269470a53402,Call your mom and tell her you got a tattoo.,10
08def984-81b8-47f4-9287-86633ceab01f,Wear your underwear over your pants for the next 10 minutes.,10
f5baca56-c634-4801-9051-dc42e4b86e2d,Text your crush and ask them out on a date.,10
70e7d151-d21e-4f86-874a-62cad78aad5e,Let another player send a tweet from your account.,10
cf699a71-6f34-455b-84cd-ef421862651c,"Call a friend and confess your undying love for them, then say 'April Fools'.",10
d820258c-9ddd-44ff-a921-e65ae1792507,Do a belly dance for 1 minute.,10
e0e87f01-1e5a-4918-8fb4-812b23f63322,Eat a spoonful of hot sauce.,10
08ec3ed5-ac75-44d9-a44c-2277b6116ce4,Let someone draw on your face with washable marker.,10
5d54f15d-35fa-4101-870f-1638f73744b2,Send a flirty message to the 20th contact in your phone.,10
8d7e43cf-01cd-4baa-8db3-7bf2f7ed23d5,Post a video of yourself attempting the latest TikTok dance trend.,10
2bab0166-4738-4381-b2b1-3b93c7352384,Wear all of your clothes inside out for the next hour.,10
35e9d30b-f418-46a8-a771-b96fd694963b,Call a random number and sing them 'Happy Birthday'.,10
a6f30320-74a0-4800-87a4-2a4ee4aaeba1,Do a cartwheel in a public place.,10
58bb9629-1902-4007-ad85-32d0f83e2019,Let the group give you a complete makeover.,12
7fd7ffc0-ff4a-4809-8ac3-6ec8fc479c91,Go outside and howl at the moon for 30 seconds.,12
343d3234-96d0-459e-9e75-9725ce7ded37,Write a love poem for a kitchen appliance and recite it passionately.,12
57e55e19-dfa6-43c7-af1b-907c16c25e1b,Call your best friend and break up with them dramatically.,12
6851aae4-713b-420d-bc43-cecce140fc3a,Post a video of yourself doing the macarena in public.,12
9b9d5036-4b28-4c84-baae-7007f6909d63,Eat a raw onion like it's an apple.,12
029bd6e7-579c-467c-a7c2-46f060d4ca12,Let someone else do your makeup while you're blindfolded.,12
7d1a9574-3245-4fa6-982f-80dba9beafef,Declare your love for an inanimate object in a public social media post.,12
d5efe34a-d2c6-46c4-8a29-0b75409aae57,Wear your shoes on the wrong feet for the rest of the day.,12
0d0735b0-ecaa-408c-a442-f329be73507c,Send a voice message of you singing a love song to your boss or teacher.,12
a85b611f-a66b-46bc-aac8-b72e4f6537ce,Do a stand-up comedy routine for 2 minutes about your most embarrassing moment.,12
3897098d-8a1c-460a-bb76-fc78395c2952,Let the group pick out an outfit for you to wear to work/school tomorrow.,12
d6bc5c40-8bfc-4e84-acba-6bd7183ffe0f,Post a video of yourself doing the chicken dance in a public place.,12
1ca0150a-2525-4799-a3b6-aa766b8d5603,Text your parents asking if you were adopted.,12
6e35fc0d-c5b3-42c5-98e9-7e5f8922feeb,Speak in an overly dramatic Shakespearean style for the next hour.,12
01115350-e4ec-4cad-9fdb-6a12b7cbf500,Create and wear a tinfoil hat for the rest of the game.,15
023c491b-23e5-497b-ae7d-a47afdacd3c8,Go to a public place and propose to a stranger.,15
8bab677e-2184-419d-a30d-096817775db9,Wear your clothes backwards and inside out for the rest of the day.,15
96c8cd3b-d03f-47df-b845-4beaaa71d246,Post a video of yourself doing an interpretive dance to your least favorite song.,15
3a6a2161-e82f-41b3-9b87-575bc45c9d0f,Call a friend and try to convince them the Earth is flat for 5 minutes.,15
fe741b35-d620-4f4a-a639-f7cf90245907,Go to a nearby store and ask for a discount because you're 'Instagram famous'.,15
e445172d-28ed-4898-8b3b-c16db566ea1f,Wear a sign saying 'Free Hugs' and stand in a public place for 10 minutes.,15
279bb11a-cf39-4b2a-bcb5-f97ae57078b3,Post a video of yourself giving a dramatic speech about why socks are evil.,15
4cba28bf-2ea9-40f7-b84e-990394caadfe,Call a radio station and request a song that doesn't exist.,15
9b90c8f6-dad0-4c00-af7f-c7849bac0f9e,Go to a fast food drive-thru and order a menu item that doesn't exist.,15
3de8c0d2-1e8d-4a57-8857-7cd79c50b8ee,Perform a dramatic monologue in a public place about your undying love for pigeons.,15
4b15deb5-40e3-4d94-8c7f-4373fb82ff4f,Wear a costume or strange outfit to a regular errand (like grocery shopping).,15
2d1aae03-7f9e-4b36-8c6c-38a88e98a60f,Start a conga line with strangers in a public place.,15
218b8116-cfdf-4c2e-be4a-7a66c5a0d5f9,Go busking in public with a terrible made-up song for 10 minutes.,15
12b5ca8f-10f0-4805-bd5b-d3349aef7256,Try to sell a random object to strangers for $100 for 10 minutes.,15
415cbde7-9023-4f4d-b37c-6a5e566f0836,Participate in a local open mic night with a completely improvised performance.,18
3cb47a04-8bf7-4d00-8f78-47c29d5ebebf,Organize and lead a flash mob in a public place.,18
774bd451-7a30-4e53-9abf-b19cdf9b11ae,Perform stand-up comedy at a local comedy club's open mic night.,18
261e4f4c-9c09-4ee7-a838-92a8dd215ad1,Apply for a job you're completely unqualified for and go to the interview.,18
d01fc5e0-d477-4bd2-9e6f-acf4dcea08f7,Start a fake protest about something ridiculous in a public place.,18
90c47bf8-f54d-457a-836b-4768ade5ee19,Attempt to break a world record,18
92a520af-9bd9-4670-ba4e-d4021532805e,Create and wear an outfit made entirely of duct tape for a full day.,18
ccd92d4d-1355-4239-8e87-edb8d6089f02,Throw yourself a fully-decorated birthday party in public (when it's not your birthday).,18
defc71da-34b8-4419-bbda-9617243602aa,Try to convince a local news station to interview you about a made-up achievement.,18
3dd74d1b-c299-4dff-b724-32216cfe8d95,Spend a day speaking only in movie quotes.,18
82c40db4-438c-4013-9e25-b10d765f83f0,Create a video resume for a job as a superhero and send it to a real company.,18
989e5b28-831c-4d55-97f6-5d220326e05e,Host a formal tea party in an unusual public location.,18
377f9183-00ca-4641-a9ac-40a5da1111f7,Write and perform a one-person play in a public park.,18
6dd650f4-1216-4c2f-abd2-311ad03fafae,"Start a fake tourism tour in your town, showcasing made-up 'historical' sites.",18
64fb5553-12cb-4d5f-bbdd-0152a1955dad,Spend a day roleplaying as a time traveler from the past confused by modern technology.,18
80bcdece-d597-4c48-be7c-69b3cbc9124c,Wear your clothes backwards for the next 30 minutes.,3
9f613d54-3353-4932-ad43-0a2214b91ace,Do your best animal impression for 1 minute.,3
9cb790b9-04b2-46a5-9eac-93682b376bd9,Sing your favorite nursery rhyme in a funny voice.,3
405e1eb2-f568-4084-bddb-dc165306ce09,Make a silly face and hold it for 30 seconds.,3
73cec3aa-68ec-4b3e-8fae-1e3f17690ca0,Hop on one foot for 1 minute.,3
eb21fbce-3254-4556-94a7-dc59bbd56380,Pretend to be a robot for the next 5 minutes.,3
03989821-2ebe-401a-a1e8-faff2b1fed7d,Draw a funny picture with your eyes closed.,3
f42e8cd8-94b8-4d77-800c-50c2cc93a78b,Act like your favorite cartoon character for 2 minutes.,3
4f4f4719-2f5f-4c58-aa1a-435095e9e31d,Try to lick your elbow for 30 seconds.,3
3f2f2498-fad5-4eb1-b0bd-031076f54e76,Do your best superhero pose and hold it for 1 minute.,3
840549d7-ff16-474b-8306-b3202bb4eba6,Spin in a circle 10 times and try to walk straight.,3
656acd55-741a-460b-b4fe-6a439966343f,Wear your shoes on the wrong feet for 5 minutes.,3
8b24b7af-25fa-4d97-90b9-9ad953ab0f46,Pretend to be a statue for 2 minutes.,3
fc0afec8-0dac-48c1-9e97-6dcb5049321d,Make up a short song about your favorite toy.,3
82a7cd15-a6e3-4b10-a8ea-c4766a5c691d,Try to whistle while smiling as wide as you can.,3
329fff57-dffa-4678-b31e-0d9a7c2902d7,Eat a spoonful of ketchup.,5
d92122b3-a965-4bda-aca5-85535b46871d,Wear your clothes inside out for 10 minutes.,5
57bba953-8f86-4e05-986f-c7990ac7f369,Do 10 jumping jacks while singing the alphabet.,5
2bd7beeb-c917-43f7-a65d-ef8e1c41c8a2,Call a family member and tell them a joke.,5
c85633c0-fae3-4157-bba5-d8801930506f,"Go outside and yell ""I love broccoli!"" three times.",5
3823e1a5-259e-4ec7-a870-263b7801c37e,Put an ice cube down your shirt and let it melt.,5
6589a4a0-2648-408b-a6ab-5e95fd8789ee,Try to write your name with your foot.,5
11335d3b-d75c-4f4a-a29e-80878d9dd90c,Speak in rhymes for the next 5 minutes.,5
cfeb1715-9c95-4999-acd4-aa8f3e1997ba,Do your best impression of a famous person.,5
9a546ee3-2561-49b5-bbe1-1d1ed1542512,Wear socks on your hands for 5 minutes.,5
1237ec95-740a-4dbc-a031-9bcd66172949,Make up a commercial for a silly product.,5
d32d27de-3798-4bfb-bcc9-530ff54164d2,Try to do a cartwheel (if it's safe to do so).,5
08c0968f-d104-4f38-8bb7-ac56a997cd8a,"Sing ""Happy Birthday"" while holding your nose.",5
a0b7e85f-b16a-4be1-ab2c-9d90f21a3205,Make a paper airplane and try to land it on someone's head.,5
df26ebc2-45de-4b7f-b48b-cc9e70006168,Wear a funny hat made of household items for 10 minutes.,5
e11e11e0-5659-4052-b67d-84d95e426f24,Text your crush a compliment.,7
6406024f-ba12-4983-aafe-a4030efc9c48,Post a silly selfie on social media.,7
257e02a8-1cad-4a33-a6f1-95a3d5ecfce5,Do the chicken dance in a public place.,7
53a3b2ff-9822-4339-9b42-e80bf3c92563,Wear mismatched shoes to school tomorrow.,7
87c4a6ef-d70f-42dd-b822-1d8cd3934c49,Call a friend and speak in an accent for the entire conversation.,7
a7efbcdc-2978-4bba-84a1-14bc2329ab57,Write a short poem about the person to your left and read it aloud.,7
ace54c59-a4fb-4d2a-80aa-bb552d1a7ec3,Let someone style your hair however they want.,7
267b7774-fd89-491a-be69-fc0f970a1826,Eat a spoonful of mustard.,7
f9726098-decc-4a57-afba-207ec1f53e4b,Do your best impression of a news anchor reporting on your day.,7
641200f1-918d-40cc-9eda-37fbe39e6d20,Wear your pajamas inside out to bed tonight.,7
d00acba6-ebca-4892-9250-00002e7d054e,Draw a mustache on your face with washable marker.,7
2bc84cb8-c539-4406-b331-febaa0f03947,Send a text to your parents using only emojis.,7
ec51cb83-9fb4-4495-bcf3-fcb1c75a6486,Try to juggle three items of the group's choosing.,7
6a0c140a-070b-4684-9e79-f4116eb846c5,Speak in song lyrics for the next 10 minutes.,7
7298c147-af9d-4fe9-b265-1074093ed7f8,Make up a secret handshake with a stranger (with their permission).,7
21172a2d-caa1-4a1e-b4b8-49827ed1a2d4,Change your social media profile picture to an embarrassing photo for 24 hours.,9
5f9479c5-7f4e-4013-8e61-67a5d7548dd1,Wear a cape made of tin foil to school tomorrow.,9
7151e438-14e4-4288-bb2d-504c1d91ee7d,Text your crush asking if they believe in aliens.,9
443e2bce-e844-4da2-9005-89cff73c4cec,Do 20 push-ups while reciting the pledge of allegiance.,9
66fe8ee9-378e-4659-98f6-b6e0eca22d3a,Post a video of yourself attempting a popular TikTok dance.,9
173153f6-d3fd-48a8-8c9b-b2ad608bd4dd,Wear your clothes backwards for an entire day.,9
d4e4a90e-e258-4952-bbf5-3e063a674aad,Call a pizza place and order a pizza with pineapple and pickles.,9
02e52506-6f21-4185-998e-02e952c48010,Let the group give you a makeover using only items found in the kitchen.,9
6ea52e8c-7bde-4193-9ea5-dfc37467c1fb,Write and perform a short rap about your most embarrassing moment.,9
ecce48a6-95ea-4253-bf1f-b43d36cac332,"Wear a sign saying 'Hug me, I'm awesome' in public for 30 minutes.",9
37d97e8c-479c-4166-a29c-2ae0b3549f9a,Go to a public place and ask strangers to sign a petition to end Mondays.,9
bb06d48f-2e43-4f8c-9e47-d70524c36c54,Send a voice message to your crush singing your favorite song.,9
1debfcbd-5e5d-4b90-b75e-d332ed00b63d,Eat a spoonful of the spiciest sauce available.,9
4c8cf723-6df0-4ab1-9621-ae68ca53f9a4,Post a status saying you're quitting all social media forever (delete after an hour).,9
4300e118-cb2f-4880-937b-9de69d29e712,Try to sell a random household item to your neighbors for $50.,9
396f0ec8-cd7f-4256-b306-7aa3573423cd,Ask someone out on a date using only song lyrics.,11
8c128695-9450-445c-ace2-75284f5982af,Wear your underwear over your pants for an entire school day.,11
c70705b1-ec5a-47e5-87e1-aec2bea4c575,"Post a video of yourself doing the ""Macarena"" in a public place.",11
8c41dbe3-b539-4fca-9db3-6fccec4905bf,Call your parents and tell them you've decided to join the circus.,11
16752656-e7d6-4206-b73c-fb8031219cc8,Go to a fast food drive-thru and try to order something not on the menu.,11
a2801996-5efc-4e48-aafb-515b2ade206f,Wear a full face of makeup applied by someone else while blindfolded.,11
152f15be-8b20-40e6-95d6-b2d28572fbe0,Start a flash mob in a public place with at least 3 friends.,11
001cfeef-80d8-485e-adf0-c6d8910ff458,Post a love letter to your celebrity crush on your social media.,11
3fb61a55-f536-49f8-8531-bdbe8d0c3663,Wear a costume to school/work on a non-costume day.,11
002850ae-f86e-49be-86ae-38cdb51082de,Try to convince a stranger that you're a time traveler from the future.,11
8b44b025-171e-4bb1-9b11-89a716ec1797,Perform a dramatic monologue about your undying love for broccoli in public.,11
16d6812b-ca78-4c50-81c6-a556b82819d2,Call a radio station and request a song that doesn't exist.,11
fb142c77-5544-4489-86b5-41174bed4375,Go busking in a public place with a terrible made-up song for 10 minutes.,11
67ed3f90-f624-4e44-89f0-e1e6895c44ab,Wear a different accent every hour for an entire day.,11
d4f90abb-9952-4750-9bd8-bf7805f5ecfe,Try to sell Monopoly money as a new cryptocurrency to your friends.,11
5bff163c-a3f2-4d91-96fb-bfcc34c32ecf,Dye your hair a crazy color for a week.,13
11fde105-bf66-47ea-b746-9379e30c7cf3,Get a temporary tattoo of the group's choosing on a visible body part.,13
e9de3530-66ef-4ead-96c1-f35eacf211b2,Wear a onesie to school for an entire day.,13
c1dc6fe4-ae8b-4e9d-9f4a-5d78c6622248,Post a video of yourself performing a stand-up comedy routine about puberty.,13
45851e38-6b29-4351-9617-7695dfdf3dac,Go to a public place and start a debate about whether hot dogs are sandwiches.,13
81eed216-0ba1-4fe2-9570-3b60a2c76d85,Wear a shirt with an embarrassing phrase chosen by the group for a full day.,13
e14682d9-9401-4089-afc3-9736b2280cdd,Try to order a cheeseburger at a fancy restaurant.,13
3b55f7db-0692-4d96-8295-304b73af5bb8,Perform a choreographed dance routine with friends in a crowded public place.,13
aa7075f0-b7fc-427b-9343-a1300d745cba,"Start a fake protest about something ridiculous (like ""Free the Legos"") in public.",13
5581fb39-563c-4101-bde7-82073837cb30,Spend an entire day speaking only in movie quotes.,13
ef475540-1747-4fcc-b2c8-b451ded6ad51,Wear a hot dog costume to a formal event.,13
1c64718a-4237-4add-b76c-d094bc28001f,Create and wear an outfit made entirely of duct tape for a full day.,13
d734a83c-ff83-4936-b9b7-76cdc1f475ca,Try to convince your teacher/boss that aliens have contacted you.,13
87f04252-0f19-4d41-b0c8-4a7480e328a2,Go to a pet store and ask if they have any unicorns for sale.,13
e913dd86-88f5-4436-ab71-84c755e5e5e6,Wear swim goggles everywhere you go for an entire day.,13
3805641e-edd9-4ca1-8da7-c304b549ab6f,"Get a dramatic temporary makeover (hair, makeup, clothes) and wear it to school.",16
86239506-441d-4648-80cb-76d8e8ec8645,Participate in a local open mic night with a completely improvised performance.,16
4e1e4056-d798-43c0-9cdc-b5cf791e4c51,Apply for a job you're completely unqualified for and go to the interview.,16
f8972b19-5de3-4bbc-8482-8422c15c28c4,Organize and lead a flash mob in a busy public place.,16
1db5193b-3b40-4a88-bb66-a721639f1de9,"Spend a day roleplaying as a superhero in public, complete with costume.",16
2807d0f3-51f1-4e8c-8ecf-4826288a135f,Create a video resume for a job as a professional mermaid/merman and send it to a real company.,16
d36fd339-b32a-4a03-9525-d5ad5f0ae5ad,Host a formal tea party in an unusual public location (like a skate park).,16
eae8a596-258a-4cf3-9377-cb2caf81f5aa,Write and perform a one-person play about your life in a public park.,16
dff85d3d-2078-4c1c-99c8-28f1456eded7,"Start a fake tourism tour in your town, showcasing made-up 'historical' sites.",16
4ed333d5-b944-4d32-a958-eda74dbe3d27,Attempt to break a world record (like most sticky notes on face in one minute).,16
9e955554-f00d-464e-b0da-f84b14e8f97e,Wear a full knight's armor (or closest approximation) to school/work for a day.,16
cb27d708-333b-47a8-884f-d2d31664cf1b,Try to convince a local news station to interview you about a made-up achievement.,16
61853475-4fad-4833-b45c-b41d05c954d9,Spend a day pretending to be invisible in public.,16
fa6158f4-62b1-4526-ab0b-cdc82e59a690,Create and wear a dress made entirely of balloons to a social event.,16
852c4d5e-06b2-4c09-9d97-60d557517b98,Try to start a new dance trend in a crowded public place.,16
8fc9b066-f41a-426d-925f-a6ca8a93fb99,Create and wear a tinfoil hat for the rest of the game.,16
8890cdb9-6b11-4754-b733-0108fdcf145c,Go to a public place and propose to a stranger.,16
16479f99-15d0-44f6-82aa-b1e42c26ff1a,Speak in a fake accent for the next 10 minutes.,6
92486e2f-053a-42a5-921b-b979a8438b83,"Call a friend and sing them ""Happy Birthday"" even if it's not their birthday.",7
659e3117-652b-44db-8308-312191835b6f,Do your best impression of a celebrity for 1 minute.,5
615b5050-3863-46f7-a279-b13a52b8f395,Write a short poem about the person to your left and recite it dramatically.,8
f3fcb664-0c68-456c-9ac7-5a26b160f32c,Put on a blindfold and try to draw a elephant.,4
4fd62c3c-6d1e-496f-9c12-c8799e5fedf9,Do 10 jumping jacks while reciting the alphabet backwards.,6
10d59c46-5063-4555-bb21-fd692a034908,Wear your clothes backwards for the next 30 minutes.,7
f089c4e4-3179-42b5-9b48-58c4d630a684,Try to lick your elbow for 30 seconds.,3
2b2487ca-c7d2-4d33-b41e-c17f1745f88c,Make up a short rap about your favorite food and perform it.,8
8190429b-f0b2-486c-b5d8-d28f9fe2875d,Balance a spoon on your nose for 1 minute.,5
b9cd4833-8e26-4a93-9e08-0b1aacaa8cf6,Call the 5th contact in your phone and ask them for a funny joke.,7
e177c850-6227-43a1-af8b-31c16608a7b4,Do your best robot dance for 1 minute.,6
d4a2d7ae-bf76-476c-a989-c1834f41709e,Try to make a paper airplane and throw it across the room.,4
3b69b38d-5c48-41de-a307-2dc5b59bbfde,Speak only in rhymes for the next 5 minutes.,8
a63ff0b6-4e7f-453d-99c5-84ffdee44cea,Do your best impression of a news anchor reporting on your day.,7
67ba8520-0470-4b24-8533-4d25f89aa812,Take a selfie with a funny face and set it as your profile picture for an hour.,9
41ec8e40-697a-4f60-adc0-b2f373ce26a2,Try to juggle three small objects for 30 seconds.,6
eef7b0fb-9d1a-4efb-9a2b-d7da27dfc082,Make up a short commercial for a ridiculous product and act it out.,8
9c6ad8cc-b254-436a-a608-2e2700ba615f,Do 5 push-ups while balancing a book on your back.,7
fc0f38b2-f747-4fa7-bb92-199f7cc433a5,Wear socks on your hands for the next 10 minutes.,5
